#{"t_start": 1702839456.6788507, "env_id": "None"}
r,l,t
19.616114,1001,13866.191965
19.719541,1001,13903.43944
19.669052,1001,13940.769867
19.699679,1001,13978.225222
19.675375,1001,14015.577637
19.585171,1001,14052.901067
19.633558,1001,14090.538317
18.313039,942,14125.649027
19.696843,1001,14162.927485
19.729902,1001,14200.234925
19.719645,1001,14237.477402
19.574338,1001,14275.105658
19.699475,1001,14312.394109
14.627851,749,14340.532848
14.179548,727,14367.92202
8.595198,450,14385.052121
5.531869,311,14397.216092
15.773088,817,14427.796419
5.90775,315,14439.96139
8.399563,438,14456.634754
5.276609,291,14467.948236
5.651963,304,14479.756412
6.117008,325,14492.332144
1.604452,98,14496.580689
19.222063,1001,14533.972081
6.24536,358,14547.969992
18.667287,1001,14585.305416
19.456497,1001,14622.551892
19.63028,1001,14659.815357
19.524121,1001,14697.157778
19.294594,1001,14734.489205
19.691362,1001,14771.747673
19.609722,1001,14809.128071
19.623356,1001,14846.674374
19.596593,1001,14884.069763
19.589569,1001,14921.308244
17.585896,1001,14958.565713
19.662542,1001,14996.20796
19.228341,1001,15033.467428
19.176227,1001,15070.933776
2.161952,123,15076.116781
3.041485,172,15083.081756
16.153566,1001,15120.425176
18.340633,1001,15157.716626
19.499323,1001,15195.3119
19.395848,1001,15232.65432
17.489951,1001,15269.99774
17.498405,1001,15307.211235
19.697762,1001,15344.429726
13.537544,715,15371.223243
19.427853,1001,15408.455726
3.610289,204,15416.550048
18.513824,1001,15453.574652
19.587876,1001,15490.831122
18.957222,1001,15528.439389
18.066431,1001,15565.840775
9.301808,492,15584.453019
19.293146,1001,15621.67251
19.452845,1001,15659.053908
19.596882,1001,15696.485277
18.375294,1001,15734.167501
19.686463,1001,15771.366004
19.580938,1001,15808.576501
19.509245,1001,15845.930914
18.294979,1001,15883.165396
18.87109,1001,15920.41487
14.731164,1001,15957.658348
17.370564,1001,15994.902824
19.592962,1001,16032.061351
19.590233,1001,16069.408768
18.843759,1001,16106.924089
18.710421,1001,16144.051633
15.92761,1001,16181.528975
19.718269,1001,16218.715485
17.600569,897,16252.111186
18.12965,1001,16289.478592
4.063615,220,16298.166572
4.514005,249,16307.983898
19.600845,1001,16345.095452
19.681146,1001,16382.42488
19.462593,1001,16419.61239
19.512952,1001,16456.88485
18.079645,1001,16494.21028
18.51782,1001,16531.471747
1.735614,103,16535.902187
19.459526,1001,16573.224618
1.923077,123,16578.411621
19.472801,1001,16615.710067
19.48232,1001,16653.348316
9.641695,502,16672.362328
18.936698,1001,16709.679763
19.093141,1001,16746.905251
19.71692,1001,16784.619455
19.519903,1001,16821.767988
19.564481,1001,16859.217346
19.353554,1001,16896.401858
19.695422,1001,16933.849217
14.396029,751,16962.121879
19.620363,1001,16999.724149
19.542724,1001,17037.118539
19.221269,1001,17074.512929
19.658697,1001,17111.828365
19.665079,1001,17149.051853
19.698173,1001,17186.312321
19.695452,1001,17223.69172
19.625004,1001,17260.755301
19.691824,1001,17297.831875
10.808073,579,17319.741214
9.851008,513,17339.220957
19.397358,1001,17376.746271
15.478254,814,17407.304612
6.361394,336,17420.282112
6.747537,363,17434.284021
19.690002,1001,17471.78435
7.833079,415,17487.680163
2.882519,164,17494.382291
15.0614,1001,17531.824654
15.367125,832,17562.998638
12.668531,656,17587.790311
13.315842,686,17613.636375
